,Year,Month,Group_x,count,month_no
0,1835,July,IVA,1,7
1,1836,September,AUB,1,9
2,1842,July,MES,1,7
3,1843,June,DIO,1,6
4,1843,March,AUB,1,3
5,1845,July,HOW,1,7
6,1847,July,IIAB,1,7
7,1850,November,DIO,1,11
8,1852,December,AUB,1,12
9,1855,August,HOW,1,8
10,1858,August,HOW,1,8
11,1865,August,SNC,1,8
12,1868,December,HOW,1,12
13,1869,January,ANGR,1,1
14,1870,June,DIO,1,6
15,1875,April,EUC,1,4
16,1876,April,IIIAB,1,4
17,1877,June,HOW,1,6
18,1878,August,EUC,1,8
19,1879,May,MES,1,5
20,1880,April,MES,1,4
21,1882,August,HOW,1,8
22,1886,March,IIIAB,1,3
23,1898,February,PAL,1,2
24,1899,October,EUC,1,10
25,1902,June,PAL,1,6
26,1904,April,IIAB,1,4
27,1905,October,HOW,1,10
28,1906,November,EUC,1,11
29,1908,March,IIAB,1,3
30,1910,November,EUC,1,11
31,1911,June,SNC,1,6
32,1912,August,IID,1,8
33,1913,April,EUC,1,4
34,1916,April,IIIAB,1,4
35,1916,October,IIAB,1,10
36,1917,January,IIE,1,1
37,1918,October,IIIAB,1,10
38,1919,April,AUB,1,4
39,1919,August,IVA,1,8
40,1921,May,IIIAB,1,5
41,1923,October,EUC,1,10
42,1924,July,DIO,1,7
43,1924,June,EUC,1,6
44,1925,August,DIO,1,8
45,1925,May,HOW,1,5
46,1929,February,EUC,1,2
47,1931,June,DIO,1,6
48,1932,April,AUB,1,4
49,1933,April,EUC,1,4
50,1933,August,EUC,1,8
51,1933,August,IIF,1,8
52,1933,January,MES,1,1
53,1933,March,EUC,1,3
54,1933,November,HOW,1,11
55,1933,October,AUB,1,10
56,1935,July,MES,1,7
57,1936,April,HOW,1,4
58,1936,September,EUC,1,9
59,1939,December,IIIAB,1,12
60,1939,July,HOW,1,7
61,1939,June,EUC,1,6
62,1942,April,HOW,2,4
63,1946,August,AUB,1,8
64,1947,February,IIAB,1,2
65,1948,February,AUB,1,2
66,1949,February,EUC,1,2
67,1953,July,EUC,1,7
68,1953,March,DIO,1,3
69,1957,June,EUC,1,6
70,1960,October,EUC,1,10
71,1961,April,IIIAB,1,4
72,1962,October,SNC,1,10
73,1968,November,IIIAB,1,11
74,1974,April,DIO,1,4
75,1974,August,AUB,1,8
76,1975,October,IVA,1,10
77,1981,August,IVA,1,8
78,1981,May,PAL,1,5
79,1986,November,IIAB,1,11
80,1988,January,IIIAB,1,1
81,1990,May,IIIAB,1,5
82,1994,October,HOW,1,10
83,1995,September,MES,1,9
84,1996,June,EUC,1,6
85,1997,December,EUC,1,12
86,1999,October,DIO,1,10
