,year,count
0,1830.0,2
1,1831.0,2
2,1833.0,1
3,1834.0,2
4,1835.0,2
5,1836.0,3
6,1837.0,3
7,1838.0,5
8,1839.0,1
9,1840.0,3
10,1841.0,3
11,1842.0,4
12,1843.0,6
13,1844.0,3
14,1845.0,2
15,1846.0,3
16,1847.0,2
17,1848.0,4
18,1849.0,1
19,1850.0,2
20,1851.0,3
21,1852.0,4
22,1853.0,3
23,1854.0,1
24,1855.0,6
25,1856.0,2
26,1857.0,7
27,1858.0,4
28,1859.0,4
29,1860.0,6
30,1861.0,4
31,1862.0,2
32,1863.0,6
33,1864.0,3
34,1865.0,7
35,1866.0,7
36,1867.0,3
37,1868.0,11
38,1869.0,7
39,1870.0,3
40,1871.0,4
41,1872.0,4
42,1873.0,5
43,1874.0,3
44,1875.0,6
45,1876.0,5
46,1877.0,7
47,1878.0,6
48,1879.0,8
49,1880.0,7
50,1881.0,4
51,1882.0,4
52,1883.0,3
53,1884.0,3
54,1885.0,2
55,1886.0,7
56,1887.0,5
57,1889.0,5
58,1890.0,9
59,1891.0,2
60,1892.0,4
61,1893.0,4
62,1894.0,4
63,1895.0,4
64,1896.0,4
65,1897.0,8
66,1898.0,5
67,1899.0,7
68,1900.0,8
69,1901.0,5
70,1902.0,7
71,1903.0,8
72,1904.0,4
73,1905.0,5
74,1906.0,7
75,1907.0,4
76,1908.0,6
77,1909.0,2
78,1910.0,11
79,1911.0,5
80,1912.0,4
81,1913.0,4
82,1914.0,7
83,1915.0,2
84,1916.0,10
85,1917.0,10
86,1918.0,6
87,1919.0,7
88,1920.0,5
89,1921.0,8
90,1922.0,6
91,1923.0,6
92,1924.0,10
93,1925.0,9
94,1926.0,7
95,1927.0,6
96,1928.0,6
97,1929.0,7
98,1930.0,11
99,1931.0,6
100,1932.0,8
101,1933.0,17
102,1934.0,10
103,1935.0,6
104,1936.0,5
105,1937.0,7
106,1938.0,11
107,1939.0,10
108,1940.0,5
109,1941.0,4
110,1942.0,8
111,1943.0,3
112,1944.0,7
113,1945.0,4
114,1946.0,5
115,1947.0,6
116,1948.0,3
117,1949.0,13
118,1950.0,12
119,1951.0,7
120,1952.0,6
121,1953.0,3
122,1954.0,6
123,1955.0,4
124,1956.0,8
125,1957.0,6
126,1958.0,2
127,1959.0,6
128,1960.0,5
129,1961.0,7
130,1962.0,7
131,1963.0,7
132,1964.0,7
133,1965.0,4
134,1966.0,5
135,1967.0,9
136,1968.0,5
137,1969.0,6
138,1970.0,8
139,1971.0,7
140,1972.0,3
141,1973.0,4
142,1974.0,7
143,1975.0,4
144,1976.0,12
145,1977.0,10
146,1978.0,3
147,1979.0,2
148,1980.0,6
149,1981.0,7
150,1982.0,3
151,1983.0,5
152,1984.0,10
153,1985.0,2
154,1986.0,9
155,1987.0,1
156,1988.0,6
157,1989.0,7
158,1990.0,8
159,1991.0,5
160,1992.0,3
161,1993.0,4
162,1994.0,6
163,1995.0,6
164,1996.0,5
165,1997.0,3
166,1998.0,9
167,1999.0,7
168,2000.0,4
169,2001.0,5
170,2002.0,8
171,2003.0,9
172,2004.0,6
173,2006.0,5
174,2007.0,8
175,2008.0,9
176,2009.0,5
177,2010.0,6
178,2011.0,4
179,2012.0,2
180,2013.0,1
